nombre_volcan lon lat distancia
Turrialba -83.767 10.025 20
"Huila. Nevado del" -76.03 2.93 20
Galeras -77.37 1.22 20
Tungurahua -78.442 -1.467 20
Wolf -91.35 0.02 20
"Negra. Sierra" -91.17 -0.83 20
Ubinas -70.903 -16.355 20
Planchon-Peteroa -70.568 -35.223 20
Calbuco -72.618 -41.33 20
"Hudson. Cerro" -72.97 -45.9 20
"Soufriere Hills" -62.18 16.72 20
"Watt. Morne" -61.305 15.307 20
Bardarbunga -17.516 64.633 20
Terceira -27.32 38.73 20
Hierro -18.03 27.73 20
Fogo -24.35 14.95 20
Erebus 167.17 -77.53 20
"Bristol Island" -26.533 -59.017 20
Saunders -26.483 -57.8 20
Zavodovski -27.57 -56.3 20
Aso 131.085 32.8849 20
Askja -16.783 65.033 20
Hekla -19.666 63.983 20
Reykjanes -22.3650 63.9155 20
Tupungatito -69.797 -33.425 20
"San Jose" -69.895 -33.789 20
Maipo -69.832 -34.164 20
Palomo -70.295 -34.608 20
"Atuel. Caldera del" -70.050 -34.650 20
"Risco Plateado" -69.981 -34.917 20
Tinguiririca -70.352 -34.814 20
Infiernillo -69.900 -35.123 20
Calabozos -70.496 -35.558 20
"Descabezado Grande" -70.750 -35.580 20
"Azul. Cerro" -70.761 -35.653 20
"San Pedro-Pellado" -70.849 -35.989 20
"Longavi. Nevado de" -71.161 -36.193 20
"Blancas. Lomas" -71.009 -36.286 20
"Resago. Volcan" -70.920 -36.450 20
"Payun Matru" -69.241 -36.422 20
"Tromen Volcanic Plateau" -70.033 -37.144 20
"Azufre. Cerro del" -68.237 -21.787 20
"Huila. Nevado del" -76.030 2.930 20
Purace -76.400 2.320 20
Sotara -76.592 2.108 20
"Incahuasi, Nevado de" -68.296 -27.033 20
Lanin -71.502 -39.637 20
Maipo -69.832 -34.164 20
"Antillanca Volcanic Complex" -72.15 -40.783 20
Antuco -71.349 -37.406 20
"Blancas, Lomas" -71.009 -36.286 20
Caburgua-Huelemolle -71.75 -39.25 20
Calabozos -70.496 -35.558 20
Callaqui -71.45 -37.92 20
"Carran-Los Venados" -72.07 -40.35 20
"Descabezado Grande" -70.75 -35.58 20
Infiernillo -69.9 -35.123 20
"Longavi, Nevado de" -71.164 -36.196 20
Lonquimay -71.586 -38.379 20
"Mariñaqui, Laguna" -71.167 -38.255 20
Mocho-Choshuenco -72.027 -39.927 20
Palomo -70.295 -34.608 20
"Pantojo, Cerro" -71.95 -40.77 20
"Puntiagudo-Cordon Cenizos" -72.264 -40.969 20
Quetrupillan -71.722 -39.496 20
"Resago" -70.903 -36.461 20
"San Pedro-Pellado" -70.849 -35.989 20
Sollipulli -71.52 -38.97 20
Tinguiririca -70.352 -34.814 20
Tolhuaca -71.645 -38.31 20
Tralihue -70.898 -38.509 20
Tupungatito -69.797 -33.425 20
"Rapa Nui" -109.356 -27.114 20
"Robinson Crusoe" -78.85 -33.658 20
"San Felix" -80.12 -26.27 20
"Bayo Gorbea, Cerro" -68.588 -25.414 20
"Corrida de Cori Volcanic Field" -68.367 -25.083 20
"Ojos del Salado, Nevados" -68.541 -27.109 20
Guayaques -67.566 -22.895 20
Irruputuncu -68.55 -20.73 20
Olca-Paruma -68.413 -20.939 20
Sairecabur -67.891 -22.719 20
Acamarachi -67.618 -23.292 20
Colachi -67.645 -23.236 20
Copiapo -69.13 -27.3 20
"Cordon de Puntas Negras" -67.534 -23.743 20
Guallatiri -69.092 -18.42 20
Isluga -68.83 -19.15 20
Lastarria -68.507 -25.168 20
Licancabur -67.88 -22.83 20
Miniques -67.77 -23.82 20
"Overo, Cerro" -67.67 -23.52 20
"San Pedro-San Pablo" -68.391 -21.888 20
Taapaca -69.5 -18.1 20
Tacora -69.773 -17.721 20
"Tata Sabaya" -68.53 -19.13 20
Tilocalar -68.13 -23.97 20
"Tujle, Cerro" -67.95 -23.83 20
Aguilera -73.75 -50.33 20
